代码	名称	涨幅	最新	涨跌	总额	委买价	委卖价	换手率	总市值	流通市值	昨收	今开	最高	最低
688122	西部超导	-1.77%	67.77	-1.22	11.06亿	67.76	67.77	0.00%	-	-	68.99	68.69	69.38	67.56
688185	康希诺	-1.15%	65.55	-0.76	5124.92万	65.55	65.59	0.00%	-	-	66.31	66.59	66.73	65.51
688188	柏楚电子	0.72%	134.96	0.96	1.98亿	134.96	135.00	0.00%	-	-	134.00	134.00	136.15	133.60
688208	道通科技	1.86%	34.55	0.63	4.69亿	34.55	34.56	0.00%	-	-	33.92	33.72	35.22	33.61
688256	寒武纪-U	1.28%	1436.00	18.20	128.93亿	1436.00	1436.03	0.00%	-	-	1417.80	1375.00	1457.57	1368.00
688289	圣湘生物	-3.10%	19.09	-0.61	1.19亿	19.09	19.10	0.00%	-	-	19.70	19.70	19.70	19.07
688301	奕瑞科技	0.40%	99.55	0.40	1.09亿	99.55	99.66	0.00%	-	-	99.15	99.28	100.29	98.77
688385	复旦微电	1.26%	62.50	0.78	6.85亿	62.49	62.50	0.00%	-	-	61.72	60.70	62.77	60.38
688390	固德威	-1.68%	52.81	-0.90	3.07亿	52.81	52.84	0.00%	-	-	53.71	53.66	54.18	52.70
688521	芯原股份	-1.48%	142.00	-2.13	18.95亿	142.00	142.01	0.00%	-	-	144.13	141.16	145.37	139.90
688538	和辉光电-U	-0.37%	2.66	-0.01	9542.49万	2.65	2.66	0.00%	-	-	2.67	2.66	2.68	2.64
688567	孚能科技	-2.14%	16.44	-0.36	1.94亿	16.44	16.45	0.00%	-	-	16.80	16.76	16.76	16.39
688690	纳微科技	-0.76%	26.16	-0.20	3839.33万	26.16	26.19	0.00%	-	-	26.36	26.38	26.62	26.16
688772	珠海冠宇	-0.30%	23.29	-0.07	2.43亿	23.28	23.29	0.00%	-	-	23.36	23.30	23.78	22.92
688777	中控技术	-2.02%	51.88	-1.07	4.23亿	51.87	51.88	0.00%	-	-	52.95	52.71	52.99	51.80
688779	五矿新能	-1.93%	7.13	-0.14	1.68亿	7.13	7.15	0.00%	-	-	7.27	7.22	7.26	7.10
688819	天能股份	-0.03%	32.07	-0.01	1.02亿	32.07	32.09	0.00%	-	-	32.08	32.14	32.65	31.86
689009	九号公司-WD	-1.32%	57.58	-0.77	2.79亿	57.58	57.59	0.00%	-	-	58.35	58.36	58.75	57.52
